MES,CAIXAS
2011-01,4458 
2011-02,4276 
2011-03,4680 
2011-04,4578 
2011-05,4979 
2011-06,4442 
2011-07,5292 
2011-08,5036 
2011-09,4605 
2011-10,4080 
2011-11,4859 
2011-12,4517 
2012-01,6012 
2012-02,5137 
2012-03,5716 
2012-04,5607 
2012-05,6199 
2012-06,5821 
2012-07,6448 
2012-08,6721 
2012-09,6028 
2012-10,5999 
2012-11,6908 
2012-12,5683 
2013-01,5984 
2013-02,8514 
2013-03,7131 
2013-04,9075 
2013-05,8516 
2013-06,7893 
2013-07,7041 
2013-08,7021 
2013-09,6377 
2013-10,7810 
2013-11,6904 
2013-12,6256 
2014-01,6808 
2014-02,5934 
2014-03,5597 
2014-04,6562 
2014-05,9853 
2014-06,5106 
2014-07,6836 
2014-08,5777 
2014-09,6704 
2014-10,5985 
2014-11,5848 
2014-12,5807 
2015-01,5181 
2015-02,5327 
2015-03,10056 
2015-04,6152 
2015-05,6567 
2015-06,6622 
2015-07,6639 
2015-08,5565 
2015-09,5556 
2015-10,4745 
2015-11,5942 
2015-12,5066 
2016-01,6927 
2016-02,5908 
2016-03,5527 
2016-04,6588 
2016-05,6222 
2016-06,6844 
2016-07,6472 
2016-08,6959 
2016-09,7308 
2016-10,6308 
2016-11,4611 
2016-12,8188 
2017-01,3948 
2017-02,6176 
2017-03,5202 
2017-04,7549 
2017-05,5552 
2017-06,4720 
2017-07,3969 
2017-08,5054 
2017-09,4810 
2017-10,5001 
2017-11,8102 
2017-12,5414 
2018-01,5807 
2018-02,3608 
2018-03,7575 
2018-04,4438 
2018-05,3920 
2018-06,6418 
2018-07,6142 
2018-08,4812 
2018-09,6002 
2018-10,4353 
2018-11,3853 
2018-12,2981 
2019-01,5408 
2019-02,6749 
2019-03,2969 
2019-04,5092 
2019-05,5038 
2019-06,3648 
2019-07,5408 
2019-08,2856 
2019-09,4618 
2019-10,3825 
2019-11,3941 
2019-12,6924 
2020-01,2835 
2020-02,4259 
2020-03,8311 
2020-04,6286 
2020-05,4351 
2020-06,4786 
2020-07,5416 